episode,steps,total_reward,avg_reward,epsilon,avg_loss,r_detection,r_false_positive,r_throughput,r_latency,r_stability,action_0_pct,action_1_pct,action_2_pct,action_3_pct,buffer_size,wall_time_s
163,200,64.672071,0.32336,0.3806,0.505182,0.4739,-0.0104,0.6111,0.6096,-0.162,19.0,34.0,27.0,20.0,32600,19.77
164,200,71.635368,0.358177,0.3768,0.497454,0.5937,-0.0062,0.5592,0.5497,-0.166,17.0,35.0,33.0,15.0,32800,21.13
165,200,66.539137,0.332696,0.373,0.587272,0.5224,-0.0079,0.5644,0.5714,-0.161,19.5,29.5,28.5,22.5,33000,20.01
166,200,63.944568,0.319723,0.3692,0.312603,0.4431,-0.0106,0.6409,0.648,-0.158,21.0,17.5,28.0,33.5,33200,18.29
167,200,66.057189,0.330286,0.3654,0.385628,0.4664,-0.0136,0.6541,0.6679,-0.178,11.0,30.5,35.0,23.5,33400,19.97
168,200,68.419623,0.342098,0.3616,0.324712,0.6583,-0.0087,0.3822,0.4133,-0.177,11.5,44.0,23.0,21.5,33600,19.55
169,200,71.369227,0.356846,0.3578,0.412434,0.5664,-0.0094,0.603,0.6016,-0.18,10.0,38.0,26.5,25.5,33800,21.71
170,200,75.701798,0.378509,0.354,0.247929,0.5945,-0.0037,0.6399,0.6354,-0.179,10.5,23.0,32.5,34.0,34000,20.36
171,200,73.263403,0.366317,0.3502,0.221761,0.6465,-0.0093,0.5074,0.5166,-0.177,11.5,37.5,21.0,30.0,34200,19.21
172,200,68.778633,0.343893,0.3464,0.346938,0.5255,-0.01,0.6078,0.6203,-0.17,15.0,29.0,31.5,24.5,34400,19.41
173,200,66.396435,0.331982,0.3426,0.287798,0.6002,-0.0028,0.4349,0.437,-0.163,18.5,24.5,25.0,32.0,34600,20.05
174,200,71.46933,0.357347,0.3388,0.354002,0.5725,-0.0076,0.5929,0.5921,-0.179,10.5,31.5,35.5,22.5,34800,21.0
175,200,67.209134,0.336046,0.335,0.463345,0.5891,-0.0072,0.4737,0.4807,-0.169,15.5,31.5,24.5,28.5,35000,20.52
176,200,67.838685,0.339193,0.3312,0.420578,0.5596,-0.0112,0.5369,0.5583,-0.182,9.0,30.0,26.0,35.0,35200,21.5
177,200,70.080443,0.350402,0.3274,0.293199,0.5781,-0.0095,0.5649,0.555,-0.187,6.5,24.5,32.5,36.5,35400,20.49
178,200,66.09312,0.330466,0.3236,0.421187,0.5891,-0.0073,0.4606,0.4577,-0.182,9.0,32.0,28.0,31.0,35600,21.09
179,200,74.8548,0.374274,0.3198,0.268356,0.6298,-0.0048,0.5552,0.5709,-0.168,16.0,36.5,23.0,24.5,35800,21.21
180,200,67.940702,0.339704,0.316,0.584468,0.6051,-0.006,0.4567,0.4774,-0.171,14.5,33.5,24.0,28.0,36000,21.13
181,200,68.678653,0.343393,0.3122,0.437299,0.5541,-0.0091,0.5589,0.5826,-0.181,9.5,34.5,31.0,25.0,36200,21.17
182,200,65.309478,0.326547,0.3084,0.404055,0.5664,-0.0082,0.4738,0.4767,-0.167,16.5,36.5,22.5,24.5,36400,20.26
183,200,75.998051,0.37999,0.3046,0.320864,0.6323,-0.0064,0.5774,0.5876,-0.167,16.5,37.0,16.5,30.0,36600,20.68
184,200,69.07888,0.345394,0.3008,0.339219,0.6181,-0.0084,0.4659,0.4838,-0.18,10.0,37.5,13.5,39.0,36800,23.25
185,200,77.922036,0.38961,0.297,0.288577,0.6515,-0.0084,0.5965,0.6025,-0.186,7.0,48.5,20.5,24.0,37000,21.16
186,200,65.982714,0.329914,0.2932,0.465813,0.5434,-0.0087,0.5239,0.5313,-0.17,15.0,24.5,24.5,36.0,37200,21.66
